T,G,F
1,0.01809,0.02841
2,0.01386,0.02587
3,0.01385,0.026
4,0.01385,0.02594
5,0.01386,0.02595
6,0.01386,0.02588
7,0.0138,0.02586
8,0.0138,0.02584
9,0.01377,0.02586
10,0.01381,0.02583
11,0.01389,0.02584
12,0.01383,0.02578
13,0.01381,0.0258
14,0.01385,0.02578
15,0.01391,0.02563
16,0.01388,0.02573
17,0.01394,0.02571
18,0.01386,0.0257
19,0.01396,0.0257
20,0.01398,0.0257
21,0.01396,0.02568
22,0.01391,0.02565
23,0.01394,0.02567
24,0.01392,0.0256
25,0.01399,0.02566
26,0.01394,0.02566
27,0.01395,0.02564
28,0.01403,0.02551
29,0.01397,0.0255
30,0.01398,0.02553
31,0.01395,0.0255
32,0.01397,0.02551
33,0.01399,0.02553
34,0.01399,0.02545
35,0.01403,0.0254
36,0.01404,0.02543
37,0.01408,0.02542
38,0.01405,0.02542
39,0.01403,0.02545
40,0.014,0.02541
41,0.01407,0.02536
42,0.0141,0.0254
43,0.01403,0.02536
44,0.01399,0.02536
45,0.01404,0.02538
46,0.01406,0.02534
47,0.01407,0.02526
48,0.01407,0.02522
49,0.01414,0.02524
50,0.01414,0.02523
51,0.01412,0.02509
52,0.01416,0.0251
53,0.01413,0.0251
54,0.01423,0.02504
55,0.01418,0.02503
56,0.01423,0.02497
57,0.01421,0.0249
58,0.01426,0.02493
59,0.01425,0.0249
60,0.01423,0.02488
61,0.01429,0.02491
62,0.0143,0.02478
63,0.01434,0.02468
64,0.01436,0.02467
65,0.01438,0.0247
66,0.01435,0.02472
67,0.01432,0.02464
68,0.01436,0.02467
69,0.01441,0.02474
70,0.01436,0.02469
71,0.01431,0.02463
72,0.01439,0.02473
73,0.01438,0.02456
74,0.01454,0.02456
75,0.01447,0.02454
76,0.01441,0.02449
77,0.01443,0.02456
78,0.01442,0.0245
79,0.01447,0.02447
80,0.0145,0.02448
81,0.01452,0.02437
82,0.01449,0.02437
83,0.01451,0.02438
84,0.0145,0.02434
85,0.01455,0.02432
86,0.01459,0.02422
87,0.01458,0.02426
88,0.01455,0.02423
89,0.01457,0.02424
90,0.0146,0.02417
91,0.01464,0.02421
92,0.01462,0.02413
93,0.01459,0.02413
94,0.01461,0.02406
95,0.01468,0.02407
96,0.01464,0.02408
97,0.0147,0.02408
98,0.01471,0.02402
99,0.01471,0.02404
100,0.01471,0.024
101,0.01473,0.02402
102,0.01474,0.02399
103,0.01466,0.02404
104,0.01467,0.02401
105,0.01468,0.02395
106,0.0147,0.02396
107,0.01472,0.02393
108,0.01474,0.02393
109,0.01478,0.0239
110,0.01481,0.02377
111,0.01481,0.0238
112,0.01481,0.02374
113,0.01488,0.02371
114,0.01484,0.02372
115,0.01485,0.0237
116,0.01483,0.02367
117,0.01485,0.02365
118,0.0149,0.02369
119,0.01487,0.0237
120,0.01491,0.02359
121,0.0149,0.02362
122,0.01488,0.02354
123,0.01489,0.02358
124,0.01498,0.02357
125,0.01489,0.02362
126,0.01493,0.02352
127,0.0149,0.02357
128,0.01494,0.02353
129,0.01492,0.02354
130,0.01495,0.02354
131,0.01497,0.02354
132,0.01497,0.02345
133,0.01505,0.02346
134,0.01499,0.0234
135,0.015,0.0234
136,0.01501,0.02335
137,0.01505,0.02332
138,0.01502,0.0233
139,0.01507,0.02339
140,0.01506,0.02331
141,0.01514,0.02327
142,0.01516,0.02316
143,0.01514,0.02316
144,0.01513,0.02311
145,0.01519,0.0231
146,0.01524,0.02311
147,0.01519,0.0231
148,0.01521,0.02306
149,0.01523,0.02304
150,0.0152,0.02302
151,0.01523,0.02302
152,0.01524,0.02297
153,0.01524,0.02297
154,0.01526,0.02298
155,0.01525,0.02295
156,0.01533,0.02295
157,0.01533,0.02298
158,0.01529,0.02295
159,0.01529,0.02291
160,0.01529,0.02294
161,0.01527,0.02293
162,0.01527,0.02292
163,0.01531,0.02289
164,0.01529,0.02288
165,0.01528,0.02288
166,0.01531,0.02282
167,0.0153,0.02289
168,0.01539,0.02285
169,0.01532,0.02279
170,0.01534,0.0228
171,0.01534,0.0228
172,0.01537,0.02279
173,0.01539,0.02277
174,0.01536,0.02276
175,0.01542,0.02281
176,0.01543,0.02276
177,0.0154,0.02274
178,0.01537,0.0227
179,0.01546,0.02273
180,0.01543,0.02272
181,0.01539,0.02281
182,0.01539,0.02268
183,0.01546,0.02272
184,0.01541,0.02268
185,0.01546,0.02273
186,0.01546,0.0227
187,0.01545,0.0226
188,0.01544,0.02262
189,0.01548,0.02261
190,0.01548,0.02256
191,0.01549,0.02256
192,0.01549,0.02253
193,0.01551,0.02252
194,0.01554,0.0225
195,0.01555,0.02246
196,0.01555,0.02247
197,0.01555,0.02239
198,0.01562,0.02249
199,0.01563,0.02237
200,0.01564,0.02231
201,0.01565,0.0223
202,0.01564,0.02226
203,0.01562,0.02233
204,0.01566,0.02229
205,0.01566,0.0223
206,0.01568,0.02229
207,0.01564,0.02236
208,0.01561,0.02233
209,0.01562,0.02239
210,0.01563,0.0224
211,0.01557,0.02243
212,0.01562,0.02243
213,0.0156,0.02244
214,0.01565,0.02244
215,0.01556,0.02245
216,0.01556,0.0224
217,0.01561,0.02239
218,0.01565,0.0224
219,0.01564,0.02237
220,0.01561,0.02235
221,0.01561,0.02234
222,0.01561,0.02233
223,0.01559,0.02235
224,0.01566,0.02237
225,0.01564,0.02235
226,0.01561,0.02236
227,0.01567,0.02238
228,0.01561,0.02231
229,0.01563,0.0223
230,0.01565,0.0223
231,0.01569,0.02225
232,0.01573,0.02228
233,0.01564,0.0223
234,0.01565,0.02234
235,0.01565,0.0223
236,0.01565,0.02229
237,0.01569,0.02225
238,0.0157,0.02227
239,0.01566,0.02225
240,0.01569,0.02224
241,0.01568,0.02221
242,0.0157,0.0223
243,0.01569,0.0223
244,0.01569,0.02222
245,0.0157,0.02222
246,0.01575,0.02218
247,0.01571,0.02226
248,0.01571,0.02226
249,0.01568,0.02221
250,0.01574,0.02217
251,0.01569,0.02223
252,0.01575,0.02224
253,0.0157,0.02221
254,0.01567,0.02221
255,0.01572,0.0222
256,0.01571,0.02218
257,0.01568,0.02224
258,0.01568,0.0222
259,0.01573,0.02223
260,0.01566,0.02225
261,0.01567,0.02221
262,0.01567,0.0222
263,0.01567,0.02223
264,0.01573,0.02221
265,0.01571,0.02221
266,0.01574,0.02221
267,0.01577,0.02213
268,0.01572,0.02215
269,0.01578,0.02212
270,0.01576,0.02215
271,0.01572,0.02213
272,0.01578,0.02213
273,0.01576,0.02214
274,0.01577,0.02212
275,0.01575,0.02209
276,0.01579,0.02209
277,0.01578,0.02214
278,0.01577,0.02213
279,0.01578,0.0221
280,0.01578,0.02212
281,0.01581,0.02207
282,0.01576,0.02207
283,0.01577,0.0221
284,0.0158,0.02207
285,0.01577,0.02207
286,0.01577,0.02208
