ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.62561,0.0152359,null,null,null
0.60796,null,-0.0138762,null,null
0.54456,0.0286684,null,null,null
0.524345,null,0.0361304,null,null
0.55489,-0.06719,null,null,null
0.50239,null,-0.0330782,null,null
0.487103,-0.0532075,null,null,null
0.416887,null,-0.0873475,null,null
0.419772,-0.0476118,null,null,null
0.381766,null,-0.196189,null,null
0.447134,-0.0052526,null,null,null
0.359386,null,-0.209075,null,null
0.447267,0.105543,null,null,null
0.40193,null,-0.20362,null,null
0.442663,0.099235,null,null,null
0.416243,null,-0.195394,null,null
0.45481,0.12847,null,null,null
0.364992,null,-0.112471,null,null
0.385112,0.121948,null,null,null
0.362986,null,-0.0474257,null,null
0.443061,0.0325038,null,null,null
0.311704,null,-0.090127,null,null
0.443061,0.0325038,null,null,null
0.311704,null,-0.090127,null,null
0.443061,0.0325038,null,null,null
0.311704,null,-0.090127,null,null
0.389394,0.077464,null,null,null
0.286602,null,-0.0724605,null,null
0.427781,0.056828,null,null,null
0.260394,null,0.0186409,null,null
0.446344,0.097563,null,null,null
0.39384,null,0.120056,null,null
0.410279,0.0053029,null,null,null
0.362102,null,-0.0222329,null,null
0.387356,0.062483,null,null,null
0.370796,null,-0.00272865,null,null
0.400616,0.0234885,null,null,null
0.382989,null,-0.083092,null,null
0.443977,0.0493782,null,null,null
0.395085,null,-0.138716,null,null
0.392327,0.141462,null,null,null
0.34975,null,-0.215336,null,null
0.370509,0.133672,null,null,null
0.348965,null,-0.177628,null,null
0.378092,0.132406,null,null,null
0.384894,null,-0.211069,null,null
0.344712,0.181157,null,null,null
0.243221,null,-0.35551,null,null
0.377937,0.191855,null,null,null
0.293631,null,-0.329002,null,null
0.421183,0.180564,null,null,null
0.261203,null,-0.307277,null,null
0.383782,0.155009,null,null,null
0.17904,null,-0.337929,null,null
0.407196,0.118889,null,null,null
0.088961,null,-0.341994,null,null
0.40279,0.12781,null,null,null
0.069836,null,-0.330118,null,null
0.405335,0.059808,null,null,null
0.0891215,null,-0.271864,null,null
0.375752,0.0442872,null,null,null
0.094527,null,-0.333205,null,null
0.347982,0.077766,null,null,null
0.083117,null,-0.245578,null,null
