ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
1.40783,-0.00335786,null,null,null
1.53809,null,-0.144569,null,null
1.57184,0.091014,null,null,null
1.83086,null,0.27205,null,null
1.54662,-0.323507,null,null,null
1.68945,null,-0.0280987,null,null
1.52184,-0.116918,null,null,null
1.71941,null,-0.71171,null,null
1.45791,-0.390072,null,null,null
1.35193,null,-1.2188,null,null
1.2116,-0.0337557,null,null,null
1.3229,null,-0.889425,null,null
1.53562,0.329574,null,null,null
1.29633,null,-0.80261,null,null
1.26757,0.387674,null,null,null
1.73769,null,-0.90634,null,null
1.51406,0.362384,null,null,null
1.37014,null,-0.631145,null,null
1.51386,0.205223,null,null,null
1.27996,null,-0.275018,null,null
1.56243,-0.0120773,null,null,null
1.10664,null,-0.796095,null,null
1.56243,-0.0120773,null,null,null
1.10664,null,-0.796095,null,null
1.56243,-0.0120773,null,null,null
1.10664,null,-0.796095,null,null
1.41241,0.212135,null,null,null
0.813275,null,-0.219091,null,null
2.06928,0.0756515,null,null,null
0.655825,null,-0.160711,null,null
2.11303,0.247587,null,null,null
0.958025,null,0.118814,null,null
1.51652,0.772595,null,null,null
0.922815,null,-0.204665,null,null
1.52177,0.908335,null,null,null
1.18449,null,-0.187395,null,null
1.62809,0.69888,null,null,null
1.61617,null,-0.53035,null,null
1.82329,0.649765,null,null,null
1.0378,null,-0.485035,null,null
1.39695,1.12269,null,null,null
0.73426,null,-0.689175,null,null
2.04109,1.17433,null,null,null
0.73991,null,-0.69524,null,null
2.12332,0.997735,null,null,null
0.72583,null,-0.5928,null,null
1.49252,1.36907,null,null,null
0.344206,null,-0.937225,null,null
1.61719,1.99647,null,null,null
0.517755,null,-0.917405,null,null
1.37769,1.56036,null,null,null
0.381044,null,-0.7402,null,null
1.616,1.26032,null,null,null
0.511535,null,-0.95526,null,null
2.27528,1.48714,null,null,null
-0.123065,null,-0.960185,null,null
1.91362,1.28768,null,null,null
-0.303645,null,-0.773935,null,null
2.28064,1.06512,null,null,null
-0.0754035,null,-0.64878,null,null
2.13162,0.58783,null,null,null
-0.13616,null,-0.625515,null,null
2.63087,0.912365,null,null,null
-0.226438,null,-0.790855,null,null
2.01661,-0.0300052,null,null,null
-0.186547,null,-0.6461,null,null
2.54792,0.53738,null,null,null
-0.345602,null,-0.758685,null,null
2.51134,1.41006,null,null,null
-0.15166,null,-0.64461,null,null
2.52585,1.93763,null,null,null
-0.54074,null,-0.441928,null,null
2.30735,1.64979,null,null,null
-0.593855,null,-0.58844,null,null
2.37655,0.733065,null,null,null
-0.63719,null,-0.454904,null,null
1.96138,0.690035,null,null,null
-0.62873,null,-0.6548,null,null
2.0332,0.49306,null,null,null
-0.91146,null,-0.74161,null,null
1.37467,1.08186,null,null,null
-0.81225,null,-0.90552,null,null
1.6808,0.731,null,null,null
-0.811185,null,-0.74554,null,null
1.55719,0.77252,null,null,null
-1.12319,null,-0.73526,null,null
1.34178,0.156929,null,null,null
-1.05156,null,-0.650595,null,null
1.9567,0.277523,null,null,null
-0.648025,null,-0.666875,null,null
1.64239,0.311304,null,null,null
-0.630695,null,-0.964525,null,null
1.48385,0.128603,null,null,null
-0.625875,null,-1.18518,null,null
1.20593,0.6762,null,null,null
-0.59741,null,-0.89349,null,null
1.61078,0.146476,null,null,null
-0.410172,null,-0.89468,null,null
0.996245,0.324518,null,null,null
-0.74795,null,-0.9275,null,null
1.17918,0.449217,null,null,null
-0.61959,null,-0.72073,null,null
1.18667,0.563765,null,null,null
-0.64406,null,-0.77461,null,null
1.24171,0.69594,null,null,null
-0.551085,null,-0.693705,null,null
1.20982,0.0100126,null,null,null
-0.694105,null,-0.663335,null,null
1.11909,-0.0219698,null,null,null
-0.807455,null,-0.742555,null,null
0.835875,-0.308243,null,null,null
-0.466326,null,-0.68848,null,null
1.05778,-0.475855,null,null,null
-0.32466,null,-0.800435,null,null
0.94236,-0.443146,null,null,null
-0.467075,null,-0.82196,null,null
0.87991,-0.561475,null,null,null
-0.563155,null,-0.519785,null,null
0.907775,-0.53919,null,null,null
-0.514145,null,-0.586805,null,null
0.66344,-0.43915,null,null,null
-0.727035,null,-0.641005,null,null
0.798435,-0.409339,null,null,null
-0.84682,null,-0.503495,null,null
0.626655,-0.614325,null,null,null
-0.608555,null,-0.244974,null,null
0.6888,-0.304852,null,null,null
-0.916345,null,-0.424766,null,null
0.786285,-0.48617,null,null,null
-0.75601,null,-0.213158,null,null
0.618775,-0.527865,null,null,null
-0.89002,null,0.164049,null,null
0.423198,-0.5006,null,null,null
-0.90452,null,0.0071169,null,null
0.63849,-0.495644,null,null,null
-0.774585,null,0.0853295,null,null
0.38568,-0.57961,null,null,null
