ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.62376,0.0156863,null,null,null
0.604885,null,-0.013716,null,null
0.543855,0.0281406,null,null,null
0.52083,null,0.0355417,null,null
0.553755,-0.0651715,null,null,null
0.498723,null,-0.0329883,null,null
0.486762,-0.0542655,null,null,null
0.413048,null,-0.0895785,null,null
0.417085,-0.0493772,null,null,null
0.374576,null,-0.192109,null,null
0.442321,-0.005411,null,null,null
0.350747,null,-0.205914,null,null
0.443325,0.099144,null,null,null
0.392253,null,-0.197158,null,null
0.440159,0.0901315,null,null,null
0.405887,null,-0.19576,null,null
0.443877,0.124635,null,null,null
0.358057,null,-0.107661,null,null
0.378712,0.113125,null,null,null
0.353085,null,-0.0440127,null,null
0.438753,0.0169212,null,null,null
0.30635,null,-0.0884565,null,null
0.438753,0.0169212,null,null,null
0.30635,null,-0.0884565,null,null
0.419081,-0.000412332,null,null,null
0.362349,null,-0.08033,null,null
0.390275,0.0493471,null,null,null
0.270224,null,-0.0533575,null,null
0.390275,0.0493471,null,null,null
0.270224,null,-0.0533575,null,null
0.418859,0.0432637,null,null,null
0.272877,null,-0.0066801,null,null
0.366423,-0.0411565,null,null,null
0.376918,null,-0.00619125,null,null
0.299945,0.0201736,null,null,null
0.341444,null,-0.0198523,null,null
0.252287,-0.0145262,null,null,null
0.280003,null,-0.0402222,null,null
0.260638,-0.0945105,null,null,null
0.274475,null,0.00110105,null,null
0.235202,-0.110853,null,null,null
0.244002,null,0.000853645,null,null
0.251155,-0.213087,null,null,null
0.279691,null,0.0773505,null,null
0.226169,-0.258066,null,null,null
0.285668,null,0.0471084,null,null
0.277701,-0.225687,null,null,null
0.298738,null,0.0123806,null,null
0.228368,-0.148041,null,null,null
0.314721,null,0.0300934,null,null
0.232027,-0.145254,null,null,null
0.297059,null,0.0890745,null,null
0.232027,-0.145254,null,null,null
0.297059,null,0.0890745,null,null
0.240286,-0.095275,null,null,null
0.307848,null,0.077679,null,null
0.199434,-0.0793585,null,null,null
0.347869,null,0.097654,null,null
0.237945,-0.151596,null,null,null
0.284035,null,0.117574,null,null
0.237945,-0.151596,null,null,null
0.284035,null,0.117574,null,null
0.225595,-0.202514,null,null,null
0.32243,null,0.15399,null,null
0.15711,-0.224251,null,null,null
0.329064,null,0.223604,null,null
0.147517,-0.248752,null,null,null
0.295029,null,0.281681,null,null
0.117357,-0.282333,null,null,null
0.323611,null,0.298975,null,null
0.129325,-0.298049,null,null,null
0.196176,null,0.202678,null,null
0.12596,-0.344726,null,null,null
0.259298,null,0.250378,null,null
0.184463,-0.268488,null,null,null
0.193022,null,0.244495,null,null
0.192943,-0.331602,null,null,null
0.0886585,null,0.278419,null,null
0.167814,-0.247749,null,null,null
0.118818,null,0.226043,null,null
0.235225,-0.30909,null,null,null
0.179624,null,0.196196,null,null
0.139143,-0.299452,null,null,null
0.127502,null,0.261805,null,null
