t,eps_f,eps_g
10,0.1,0.005
20,0.1,0.005
30,0.1,0.005
40,0.1,0.005
50,0.1,0.005
60,0.1,0.005
70,0.1,0.005
80,0.1,0.005
90,0.1,0.005
100,0.1,0.005
110,0.1,0.005
120,0.1,0.005
130,0.1,0.005
140,0.1,0.005
150,0.1,0.005
160,0.1,0.005
170,0.1,0.005
180,0.1,0.005
190,0.1,0.005
200,0.1,0.005
210,0.1,0.005
220,0.1,0.005
230,0.1,0.005
240,0.1,0.005
250,0.1,0.005
260,0.1,0.005
270,0.1,0.005
280,0.1,0.005
290,0.1,0.005
300,0.1,0.005
310,0.1,0.005
320,0.1,0.005
330,0.1,0.005
340,0.1,0.005
350,0.1,0.005
360,0.1,0.005
370,0.1,0.005
380,0.1,0.005
390,0.1,0.005
400,0.1,0.005
410,0.1,0.005
420,0.1,0.005
430,0.1,0.005
440,0.1,0.005
450,0.1,0.005
460,0.1,0.005
470,0.1,0.005
480,0.1,0.005
490,0.1,0.005
500,0.1,0.005
510,0.1,0.005
520,0.1,0.005
530,0.1,0.005
540,0.1,0.005
550,0.1,0.005
560,0.1,0.005
570,0.1,0.005
580,0.1,0.005
590,0.1,0.005
600,0.1,0.005
610,0.1,0.005
620,0.1,0.005
630,0.1,0.005
640,0.1,0.005
650,0.1,0.005
660,0.1,0.005
670,0.1,0.005
680,0.1,0.005
690,0.1,0.005
700,0.1,0.005
710,0.1,0.005
720,0.1,0.005
730,0.1,0.005
740,0.1,0.005
750,0.1,0.005
760,0.1,0.005
770,0.1,0.005
780,0.1,0.005
790,0.1,0.005
800,0.1,0.005
810,0.1,0.005
820,0.1,0.005
830,0.1,0.005
840,0.1,0.005
850,0.1,0.005
860,0.1,0.005
870,0.1,0.005
880,0.1,0.005
890,0.1,0.005
900,0.1,0.005
910,0.1,0.005
920,0.1,0.005
930,0.1,0.005
940,0.1,0.005
950,0.1,0.005
960,0.1,0.005
970,0.1,0.005
980,0.1,0.005
990,0.1,0.005
1000,0.1,0.005
1010,0.1,0.005
1020,0.1,0.005
1030,0.1,0.005
1040,0.1,0.005
1050,0.1,0.005
1060,0.1,0.005
1070,0.1,0.005
1080,0.1,0.005
1090,0.1,0.005
1100,0.1,0.005
1110,0.1,0.005
1120,0.1,0.005
1130,0.1,0.005
1140,0.1,0.005
1150,0.1,0.005
1160,0.1,0.005
1170,0.1,0.005
1180,0.1,0.005
1190,0.1,0.005
1200,0.1,0.005
1210,0.1,0.005
1220,0.1,0.005
1230,0.1,0.005
1240,0.1,0.005
1250,0.1,0.005
1260,0.1,0.005
1270,0.1,0.005
1280,0.1,0.005
1290,0.1,0.005
1300,0.1,0.005
1310,0.1,0.005
1320,0.1,0.005
1330,0.1,0.005
1340,0.1,0.005
1350,0.1,0.005
1360,0.1,0.005
1370,0.1,0.005
1380,0.1,0.005
1390,0.1,0.005
1400,0.1,0.005
1410,0.1,0.005
1420,0.1,0.005
1430,0.1,0.005
1440,0.1,0.005
1450,0.1,0.005
1460,0.1,0.005
1470,0.1,0.005
1480,0.1,0.005
1490,0.1,0.005
1500,0.1,0.005
1510,0.1,0.005
1520,0.1,0.005
1530,0.1,0.005
1540,0.1,0.005
1550,0.1,0.005
1560,0.1,0.005
1570,0.1,0.005
1580,0.1,0.005
1590,0.1,0.005
1600,0.1,0.005
1610,0.1,0.005
1620,0.1,0.005
1630,0.1,0.005
1640,0.1,0.005
1650,0.1,0.005
1660,0.1,0.005
1670,0.1,0.005
1680,0.1,0.005
1690,0.1,0.005
1700,0.1,0.005
1710,0.1,0.005
1720,0.1,0.005
1730,0.1,0.005
1740,0.1,0.005
1750,0.1,0.005
1760,0.1,0.005
1770,0.1,0.005
1780,0.1,0.005
1790,0.1,0.005
1800,0.1,0.005
1810,0.1,0.005
1820,0.1,0.005
1830,0.1,0.005
1840,0.1,0.005
1850,0.1,0.005
1860,0.1,0.005
1870,0.1,0.005
1880,0.1,0.005
1890,0.1,0.005
1900,0.1,0.005
1910,0.1,0.005
1920,0.1,0.005
1930,0.1,0.005
1940,0.1,0.005
1950,0.1,0.005
1960,0.1,0.005
1970,0.1,0.005
1980,0.1,0.005
1990,0.1,0.005
2000,0.1,0.005
2010,0.1,0.005
2020,0.1,0.005
2030,0.1,0.005
2040,0.1,0.005
2050,0.1,0.005
2060,0.1,0.005
2070,0.1,0.005
2080,0.1,0.005
2090,0.1,0.005
2100,0.1,0.005
2110,0.1,0.005
2120,0.1,0.005
2130,0.1,0.005
2140,0.1,0.005
2150,0.1,0.005
2160,0.1,0.005
2170,0.1,0.005
2180,0.1,0.005
2190,0.1,0.005
