ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
1.36549,0.000446098,null,null,null
1.48204,null,-0.141051,null,null
1.53904,0.10664,null,null,null
1.72896,null,0.245697,null,null
1.50398,-0.300536,null,null,null
1.52897,null,-0.0561005,null,null
1.42863,-0.107124,null,null,null
1.50933,null,-0.670605,null,null
1.31737,-0.352398,null,null,null
1.14434,null,-1.04032,null,null
1.06808,-0.0112341,null,null,null
1.10791,null,-0.753245,null,null
1.3301,0.256562,null,null,null
1.10228,null,-0.66353,null,null
1.02698,0.291832,null,null,null
1.43794,null,-0.793485,null,null
1.27104,0.278782,null,null,null
1.08177,null,-0.488723,null,null
1.23847,0.16384,null,null,null
1.03276,null,-0.219747,null,null
1.29002,-0.0193895,null,null,null
0.888245,null,-0.653385,null,null
1.29002,-0.0193895,null,null,null
0.888245,null,-0.653385,null,null
1.29002,-0.0193895,null,null,null
0.888245,null,-0.653385,null,null
1.15372,0.154769,null,null,null
0.63979,null,-0.205632,null,null
1.62216,0.0354674,null,null,null
0.486404,null,-0.0850705,null,null
1.67369,0.212126,null,null,null
0.82639,null,0.100299,null,null
1.19421,0.507625,null,null,null
0.787265,null,-0.21787,null,null
1.30927,0.680695,null,null,null
0.974895,null,-0.148948,null,null
1.24449,0.413035,null,null,null
1.30683,null,-0.390833,null,null
1.39614,0.379761,null,null,null
0.85491,null,-0.408315,null,null
1.09282,0.760975,null,null,null
0.660815,null,-0.537515,null,null
1.45884,0.729,null,null,null
0.636145,null,-0.634205,null,null
1.45972,0.705775,null,null,null
0.71215,null,-0.6101,null,null
1.11227,0.864485,null,null,null
0.35753,null,-0.822025,null,null
1.23913,1.10095,null,null,null
0.62616,null,-0.97653,null,null
1.00351,0.84432,null,null,null
0.407409,null,-0.83052,null,null
1.20534,0.61708,null,null,null
0.455455,null,-0.87794,null,null
1.39921,0.527695,null,null,null
-0.00385466,null,-0.754005,null,null
1.06322,0.315762,null,null,null
-0.14908,null,-0.73375,null,null
1.64024,0.157672,null,null,null
-0.0150224,null,-0.54821,null,null
1.28897,0.164533,null,null,null
-0.00483482,null,-0.67648,null,null
1.32439,0.092002,null,null,null
-0.070314,null,-0.746415,null,null
1.29298,-0.147415,null,null,null
-0.205539,null,-0.494468,null,null
1.08804,0.0737735,null,null,null
-0.313476,null,-0.613145,null,null
1.08797,0.428041,null,null,null
-0.151128,null,-0.558115,null,null
1.29965,0.627795,null,null,null
-0.361279,null,-0.461083,null,null
0.960345,0.72325,null,null,null
-0.199027,null,-0.770305,null,null
1.09317,0.349374,null,null,null
-0.16806,null,-0.619225,null,null
0.88283,0.37897,null,null,null
-0.435089,null,-0.776955,null,null
0.82761,0.0985345,null,null,null
-0.281403,null,-0.500165,null,null
0.33683,0.113391,null,null,null
-0.503835,null,-0.777065,null,null
0.954735,0.0835235,null,null,null
-0.389298,null,-0.69531,null,null
0.709695,0.286591,null,null,null
-0.346676,null,-0.69654,null,null
0.574535,0.480297,null,null,null
-0.520895,null,-0.892155,null,null
0.717555,0.89106,null,null,null
-0.463307,null,-0.94952,null,null
0.392456,0.448997,null,null,null
-0.75549,null,-0.580375,null,null
0.471265,0.622785,null,null,null
-0.894925,null,-0.527735,null,null
0.66738,0.87672,null,null,null
-0.83885,null,-0.50229,null,null
0.367663,1.15538,null,null,null
-0.77326,null,-0.305115,null,null
0.155143,1.19646,null,null,null
-0.45102,null,-0.198432,null,null
0.275279,0.97574,null,null,null
-0.880425,null,-0.059455,null,null
0.215273,0.59494,null,null,null
-0.61854,null,-0.08657,null,null
0.090144,0.54854,null,null,null
