ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
1.4152,-0.00388351,null,null,null
1.54781,null,-0.145127,null,null
1.57696,0.0885585,null,null,null
1.84755,null,0.27622,null,null
1.5513,-0.326562,null,null,null
1.71551,null,-0.0228617,null,null
1.53175,-0.11899,null,null,null
1.75636,null,-0.717525,null,null
1.47477,-0.393846,null,null,null
1.39165,null,-1.24992,null,null
1.22928,-0.0382074,null,null,null
1.36877,null,-0.91837,null,null
1.56629,0.343999,null,null,null
1.34003,null,-0.83116,null,null
1.31277,0.406678,null,null,null
1.80732,null,-0.9305,null,null
1.56263,0.37963,null,null,null
1.44084,null,-0.660655,null,null
1.57329,0.219151,null,null,null
1.34299,null,-0.28189,null,null
1.62292,-0.0119204,null,null,null
1.16126,null,-0.826685,null,null
1.48791,0.57017,null,null,null
1.38138,null,-0.601625,null,null
1.69545,0.301306,null,null,null
1.59017,null,-0.202055,null,null
1.7616,0.355779,null,null,null
1.34004,null,0.287444,null,null
1.75099,-0.114058,null,null,null
1.34535,null,0.225909,null,null
2.1418,-0.309414,null,null,null
1.49714,null,0.189384,null,null
1.45853,-0.247505,null,null,null
1.01538,null,0.220662,null,null
1.65461,-0.086659,null,null,null
1.32574,null,0.16521,null,null
1.33052,-0.0189605,null,null,null
1.43551,null,0.308345,null,null
1.95653,-0.204594,null,null,null
1.36804,null,-0.132412,null,null
1.74147,-0.186535,null,null,null
1.37659,null,0.070813,null,null
1.79856,-0.52648,null,null,null
1.31042,null,0.170886,null,null
1.99743,-0.301839,null,null,null
1.14122,null,-0.106231,null,null
2.0879,-0.701385,null,null,null
1.13369,null,-0.360918,null,null
1.9026,-0.27843,null,null,null
0.94042,null,-0.375337,null,null
1.48344,-0.52717,null,null,null
1.29525,null,-0.34153,null,null
1.48344,-0.52717,null,null,null
1.29525,null,-0.34153,null,null
1.92094,-0.166492,null,null,null
1.29263,null,-0.013378,null,null
1.6546,-0.457149,null,null,null
0.971505,null,-0.0440235,null,null
1.80596,-1.10498,null,null,null
1.16627,null,-0.145175,null,null
1.80596,-1.10498,null,null,null
1.16627,null,-0.145175,null,null
1.81829,-0.838435,null,null,null
1.34116,null,-0.050873,null,null
2.28802,-0.865465,null,null,null
1.47009,null,-0.0852285,null,null
1.72215,-0.719905,null,null,null
1.33593,null,-0.223145,null,null
2.06222,-1.09918,null,null,null
1.16499,null,0.209476,null,null
2.08213,-2.24404,null,null,null
1.22567,null,0.0299841,null,null
2.12524,-2.07123,null,null,null
1.08398,null,-0.0052321,null,null
2.11581,-1.73558,null,null,null
1.15226,null,0.059595,null,null
1.90968,-1.41064,null,null,null
0.874955,null,0.184827,null,null
1.2908,-1.89053,null,null,null
1.26418,null,0.0233011,null,null
1.16617,-1.70303,null,null,null
1.13671,null,-0.050115,null,null
0.60208,-1.2434,null,null,null
1.38703,null,-0.334259,null,null
0.51578,-1.03413,null,null,null
1.28295,null,-0.436933,null,null
0.86425,-0.85711,null,null,null
1.22124,null,-0.191353,null,null
0.711115,-0.52249,null,null,null
1.67115,null,-0.549645,null,null
0.598935,-0.489241,null,null,null
2.17826,null,-0.7127,null,null
1.01029,-0.477894,null,null,null
1.81682,null,-0.87335,null,null
0.93698,-0.73378,null,null,null
1.66239,null,-1.23744,null,null
0.75438,-0.50367,null,null,null
1.08898,null,-1.1252,null,null
1.09153,-0.758435,null,null,null
0.78454,null,-1.08052,null,null
1.02489,-0.366146,null,null,null
0.53963,null,-1.07163,null,null
1.16179,-0.254381,null,null,null
0.75116,null,-1.09227,null,null
1.13732,-0.0219008,null,null,null
0.68413,null,-1.27353,null,null
1.16555,0.0536255,null,null,null
0.129384,null,-1.29255,null,null
1.03263,-0.083141,null,null,null
-0.068025,null,-1.11282,null,null
0.937575,0.129772,null,null,null
-0.0959125,null,-0.933195,null,null
1.12903,-0.0090465,null,null,null
0.3834,null,-0.849405,null,null
1.40716,0.062874,null,null,null
0.344527,null,-1.06197,null,null
1.52112,-0.482054,null,null,null
0.62709,null,-0.669305,null,null
1.39696,-0.217577,null,null,null
0.80942,null,-0.93461,null,null
0.95072,0.196907,null,null,null
1.12159,null,-0.573365,null,null
1.0749,0.328796,null,null,null
0.592695,null,-0.806385,null,null
0.945185,0.42194,null,null,null
1.26038,null,-0.89125,null,null
1.2027,0.450091,null,null,null
1.21023,null,-2.13949,null,null
1.34039,0.300822,null,null,null
0.829065,null,-1.76296,null,null
1.80036,0.314538,null,null,null
0.94347,null,-1.95976,null,null
1.44929,0.085908,null,null,null
0.446231,null,-2.06713,null,null
1.65334,-0.65559,null,null,null
0.96448,null,-2.3186,null,null
1.73405,-0.423925,null,null,null
0.77284,null,-1.33055,null,null
1.8268,-0.247919,null,null,null
0.930605,null,-1.41564,null,null
1.75137,-0.0520885,null,null,null
1.30648,null,-2.10877,null,null
1.56991,0.204393,null,null,null
1.72655,null,-1.72229,null,null
1.46989,0.241032,null,null,null
1.69807,null,-1.9102,null,null
1.45566,-0.095879,null,null,null
1.1024,null,-1.95185,null,null
1.56094,0.182876,null,null,null
0.621045,null,-1.92301,null,null
1.29879,-0.160083,null,null,null
0.966725,null,-2.42786,null,null
1.57142,-0.485331,null,null,null
1.386,null,-2.47064,null,null
1.47438,-0.425737,null,null,null
2.06833,null,-2.6569,null,null
1.11223,-0.105215,null,null,null
1.26104,null,-2.67565,null,null
1.0367,-0.223382,null,null,null
0.96708,null,-2.37221,null,null
0.605205,-0.205924,null,null,null
1.03264,null,-2.76334,null,null
0.54769,-0.272875,null,null,null
1.83699,null,-1.89701,null,null
0.370693,-0.210037,null,null,null
1.40105,null,-1.56127,null,null
0.408818,-0.170855,null,null,null
2.57851,null,-2.94742,null,null
0.320085,0.0574405,null,null,null
2.17359,null,-2.81841,null,null
0.322853,0.114919,null,null,null
2.79772,null,-2.16967,null,null
0.362806,0.0121156,null,null,null
2.25404,null,-1.50412,null,null
0.378323,0.106248,null,null,null
1.35641,null,-2.09224,null,null
0.63775,-0.0778015,null,null,null
1.26555,null,-1.75243,null,null
0.514535,0.083875,null,null,null
1.36045,null,-1.5775,null,null
0.514535,0.0838755,null,null,null
1.36045,null,-1.5775,null,null
0.514535,0.0838755,null,null,null
1.36045,null,-1.5775,null,null
0.514535,0.0838755,null,null,null
1.36045,null,-1.5775,null,null
0.54382,0.091587,null,null,null
1.49246,null,-0.94014,null,null
0.656765,0.233362,null,null,null
1.87384,null,-0.123117,null,null
0.519185,0.298601,null,null,null
2.03323,null,-0.416392,null,null
0.592635,0.441128,null,null,null
1.91019,null,-0.598605,null,null
0.57657,0.119967,null,null,null
2.48483,null,-0.912405,null,null
0.57657,0.119967,null,null,null
2.48483,null,-0.912405,null,null
