t,G,F1,F2,F3
1,0.002326,0.005013,null,null
2,0.002308,0.004918,null,null
3,0.002344,0.004963,null,null
4,0.002303,0.004961,null,null
5,0.002312,0.004985,null,null
6,0.002322,0.004982,null,null
7,0.00229,0.004984,null,null
8,0.002304,0.005003,null,null
9,0.002283,0.005004,null,null
10,0.002298,0.005017,null,null
11,0.0023,0.00501,null,null
12,0.002306,0.005029,null,null
13,0.002291,0.005026,null,null
14,0.002304,0.005037,null,null
15,0.002295,0.005001,null,null
16,0.002297,0.005014,null,null
17,0.0023,0.005013,null,null
18,0.002296,0.005014,null,null
19,0.002291,0.004995,null,null
20,0.002295,0.004963,null,null
21,0.002295,0.005007,null,null
22,0.002284,0.005021,null,null
23,0.002282,0.005015,null,null
24,0.002297,0.00502,null,null
25,0.002291,0.005006,null,null
26,0.002292,0.005006,null,null
27,0.002291,0.004974,null,null
28,0.002294,0.005001,null,null
29,0.002295,0.005001,null,null
30,0.002298,0.005044,null,null
31,0.002294,0.004998,null,null
32,0.002299,0.005006,null,null
33,0.002287,0.004997,null,null
34,0.002296,0.005015,null,null
35,0.002297,0.005,null,null
36,0.002283,0.005011,null,null
37,0.002289,0.004996,null,null
38,0.00229,0.005002,null,null
39,0.002282,0.004991,null,null
40,0.002297,0.004984,null,null
41,0.002291,0.005026,null,null
42,0.002302,0.005024,null,null
43,0.002305,0.004985,null,null
44,0.002295,0.00501,null,null
45,0.002299,0.005025,null,null
46,0.002294,0.004988,null,null
47,0.002291,0.005002,null,null
48,0.002295,0.005016,null,null
49,0.002296,0.004999,null,null
50,0.00229,0.005007,null,null
51,0.002292,0.005014,null,null
52,0.002296,0.005012,null,null
53,0.002306,0.004999,null,null
54,0.002306,0.004985,null,null
55,0.002311,0.004998,null,null
56,0.00231,0.005027,null,null
57,0.002299,0.005025,null,null
58,0.002304,0.005003,null,null
59,0.002297,0.004999,null,null
60,0.002298,0.005025,null,null
61,0.002306,0.005002,null,null
62,0.002298,0.005031,null,null
63,0.002296,0.005002,null,null
64,0.002306,0.005002,null,null
65,0.002303,0.005001,null,null
66,0.002298,0.004993,null,null
67,0.002299,0.004993,null,null
68,0.00229,0.005014,null,null
69,0.002299,0.005005,null,null
70,0.002295,0.004984,null,null
71,0.002301,0.005014,null,null
72,0.002296,0.005021,null,null
73,0.002309,0.005041,null,null
74,0.002292,0.004999,null,null
75,0.002299,0.005025,null,null
76,0.002297,0.005019,null,null
77,0.002289,0.005014,null,null
78,0.002308,0.005015,null,null
79,0.002297,0.005004,null,null
80,0.002299,0.005014,null,null
81,0.002295,0.005023,null,null
82,0.0023,0.005008,null,null
83,0.00229,0.005,null,null
84,0.002294,0.005039,null,null
85,0.002298,0.005022,null,null
86,0.002294,0.005017,null,null
87,0.002291,0.004982,null,null
88,0.0023,0.005028,null,null
89,0.002301,0.004998,null,null
90,0.002294,0.005012,null,null
91,0.002295,0.004999,null,null
92,0.002293,0.005013,null,null
93,0.002295,0.005001,null,null
94,0.002293,0.00501,null,null
95,0.002297,0.005017,null,null
96,0.002293,0.005014,null,null
97,0.002302,0.005048,null,null
98,0.002292,0.005013,null,null
99,0.002303,0.005014,null,null
100,0.002292,0.005014,null,null
101,0.002296,0.005034,null,null
102,0.002295,0.005019,null,null
103,0.002297,0.005022,null,null
104,0.002294,0.005,null,null
105,0.002299,0.005011,null,null
106,0.002296,0.00499,null,null
107,0.002292,0.005014,null,null
108,0.0023,0.005009,null,null
109,0.002302,0.005002,null,null
110,0.002294,0.004986,null,null
111,0.002291,0.005003,null,null
112,0.002291,0.005004,null,null
113,0.002295,0.005003,null,null
114,0.002293,0.004997,null,null
115,0.002295,0.005,null,null
116,0.002294,0.005016,null,null
117,0.002292,0.005001,null,null
118,0.002292,0.005036,null,null
119,0.002295,0.005007,null,null
120,0.002294,0.005011,null,null
121,0.002299,0.005059,null,null
122,0.002297,0.004991,null,null
123,0.002301,0.005028,null,null
124,0.002299,0.005016,null,null
125,0.002299,0.005012,null,null
126,0.002295,0.005005,null,null
127,0.002298,0.005021,null,null
128,0.002292,0.005,null,null
129,0.002303,0.005005,null,null
130,0.002291,0.005017,null,null
131,0.002287,0.005018,null,null
132,0.002301,0.005023,null,null
133,0.002292,0.005019,null,null
134,0.002297,0.005026,null,null
135,0.002293,0.005003,null,null
136,0.002295,0.00505,null,null
137,0.002295,0.005019,null,null
138,0.002303,0.005011,null,null
139,0.002295,0.005029,null,null
140,0.002302,0.005009,null,null
141,0.002296,0.005019,null,null
142,0.002298,0.005011,null,null
143,0.002301,0.00501,null,null
144,0.002298,0.005017,null,null
145,0.002294,0.005008,null,null
146,0.002293,0.005018,null,null
147,0.002293,0.005028,null,null
148,0.002291,0.005009,null,null
149,0.002305,0.005018,null,null
150,0.002308,0.005007,null,null
151,0.002315,0.005015,null,null
152,0.002304,0.005009,null,null
153,0.002304,0.005045,null,null
154,0.002288,0.005016,null,null
155,0.002297,0.005014,null,null
156,0.002297,0.005008,null,null
157,0.002288,0.004991,null,null
158,0.002299,0.004983,null,null
159,0.002286,0.005006,null,null
160,0.002295,0.005011,null,null
161,0.002295,0.005015,null,null
162,0.002296,0.004999,null,null
163,0.002286,0.004984,null,null
164,0.002288,0.005002,null,null
165,0.002291,0.004994,null,null
166,0.00229,0.005027,null,null
167,0.002296,0.00502,null,null
168,0.002299,0.005033,null,null
169,0.002292,0.005002,null,null
170,0.002306,0.005021,null,null
171,0.002308,0.005003,null,null
172,0.002304,0.005025,null,null
173,0.002292,0.00501,null,null
174,0.002294,0.005017,null,null
175,0.002297,0.005018,null,null
176,0.002296,0.005004,null,null
177,0.002292,0.005012,null,null
178,0.002295,0.004999,null,null
179,0.002296,0.005013,null,null
180,0.002287,0.005008,null,null
181,0.002295,0.005012,null,null
182,0.002302,0.005008,null,null
183,0.0023,0.004991,null,null
184,0.002296,0.005006,null,null
185,0.002299,0.004997,null,null
186,0.002298,0.005023,null,null
187,0.002301,0.00502,null,null
188,0.0023,0.005011,null,null
189,0.002299,0.004996,null,null
190,0.00231,0.005015,null,null
191,0.002296,0.005001,null,null
192,0.002293,0.00501,null,null
193,0.002292,0.004989,null,null
194,0.002288,0.005013,null,null
195,0.002289,0.005004,null,null
196,0.002295,0.005022,null,null
197,0.002295,0.004986,null,null
198,0.002291,0.005003,null,null
199,0.002287,0.004988,null,null
200,0.002292,0.005007,null,null
201,0.0023,0.004982,null,null
202,0.002299,0.004978,null,null
203,0.002292,0.00498,null,null
204,0.002299,0.005033,null,null
205,0.0023,0.005005,null,null
206,0.002295,0.005002,null,null
207,0.002295,0.005026,null,null
208,0.002294,0.005001,null,null
209,0.002292,0.005025,null,null
210,0.002288,0.004999,null,null
211,0.002288,0.005032,null,null
212,0.002287,0.005024,null,null
213,0.002293,0.005033,null,null
214,0.002295,0.005007,null,null
215,0.002301,0.00502,null,null
216,0.002294,0.005019,null,null
217,0.002291,0.004993,null,null
218,0.00229,0.005003,null,null
219,0.002293,0.005036,null,null
220,0.002292,0.005015,null,null
221,0.002297,0.005002,null,null
222,0.002302,0.005036,null,null
223,0.002294,0.005014,null,null
224,0.002295,0.005025,null,null
225,0.002301,0.005044,null,null
226,0.002296,0.005019,null,null
227,0.002292,0.004993,null,null
228,0.002297,0.005018,null,null
229,0.002297,0.005014,null,null
230,0.002299,0.005008,null,null
231,0.0023,0.005005,null,null
232,0.002305,0.005023,null,null
233,0.0023,0.00499,null,null
234,0.002295,0.005006,null,null
235,0.002295,0.005018,null,null
236,0.002301,0.005007,null,null
237,0.002295,0.005009,null,null
238,0.0023,0.005025,null,null
239,0.002314,0.005027,null,null
240,0.002301,0.005032,null,null
241,0.002307,0.005027,null,null
242,0.002304,0.005019,null,null
243,0.002295,0.005018,null,null
244,0.00229,0.005001,null,null
245,0.002301,0.005,null,null
246,0.002302,0.005005,null,null
247,0.002296,0.005021,null,null
248,0.002295,0.005025,null,null
249,0.002288,0.004994,null,null
250,0.002288,0.004993,null,null
251,0.002291,0.00501,null,null
252,0.002292,0.005008,null,null
253,0.002302,0.005026,null,null
254,0.002302,0.005027,null,null
255,0.002297,0.005013,null,null
256,0.002294,0.005002,null,null
257,0.002297,0.004988,null,null
258,0.002298,0.005,null,null
259,0.002295,0.005011,null,null
260,0.002296,0.005018,null,null
261,0.002293,0.00501,null,null
262,0.002291,0.005023,null,null
263,0.002304,0.005023,null,null
264,0.002295,0.005017,null,null
265,0.002294,0.005023,null,null
266,0.002292,0.004985,null,null
267,0.002297,0.005004,null,null
268,0.002294,0.004978,null,null
269,0.0023,0.004998,null,null
270,0.002293,0.005026,null,null
271,0.002301,0.005011,null,null
272,0.002303,0.00502,null,null
273,0.002303,0.005027,null,null
274,0.002299,0.005036,null,null
275,0.002295,0.005019,null,null
276,0.002298,0.005014,null,null
277,0.002295,0.005056,null,null
278,0.002298,0.005012,null,null
279,0.002305,0.005018,null,null
280,0.002294,0.004997,null,null
281,0.002291,0.005022,null,null
282,0.002301,0.005039,null,null
283,0.002295,0.005034,null,null
284,0.002295,0.005001,null,null
285,0.002303,0.00501,null,null
286,0.0023,0.00502,null,null
287,0.002301,0.005011,null,null
288,0.002299,0.005019,null,null
289,0.002291,0.005017,null,null
290,0.002296,0.005004,null,null
291,0.002298,0.005007,null,null
292,0.002301,0.005012,null,null
293,0.002291,0.004985,null,null
294,0.0023,0.005018,null,null
295,0.002307,0.005031,null,null
296,0.002292,0.00501,null,null
297,0.002303,0.005025,null,null
298,0.00229,0.004999,null,null
299,0.002289,0.00502,null,null
300,0.002298,0.004996,null,null
301,0.0023,0.00501,null,null
302,0.002283,0.005003,null,null
303,0.002297,0.004999,null,null
304,0.0023,0.00501,null,null
305,0.002294,0.005025,null,null
306,0.002298,0.005001,null,null
307,0.002299,0.00504,null,null
308,0.002291,0.005016,null,null
309,0.002295,0.005013,null,null
310,0.002303,0.005009,null,null
311,0.002293,0.005,null,null
312,0.002289,0.005026,null,null
313,0.002296,0.005031,null,null
314,0.002295,0.005024,null,null
315,0.002297,0.005008,null,null
316,0.002303,0.005024,null,null
317,0.002294,0.004987,null,null
318,0.002301,0.005034,null,null
319,0.002289,0.005027,null,null
320,0.002293,0.005016,null,null
321,0.002294,0.004985,null,null
322,0.002297,0.005013,null,null
323,0.002289,0.005005,null,null
324,0.002301,0.005017,null,null
325,0.002292,0.005018,null,null
326,0.002303,0.00499,null,null
327,0.002298,0.00502,null,null
328,0.002294,0.004996,null,null
329,0.002305,0.005027,null,null
330,0.002303,0.00503,null,null
331,0.002305,0.004999,null,null
332,0.002302,0.004993,null,null
333,0.002302,0.005019,null,null
334,0.002296,0.004996,null,null
335,0.0023,0.005048,null,null
336,0.002297,0.005001,null,null
337,0.002297,0.005028,null,null
338,0.002301,0.005021,null,null
339,0.002298,0.005045,null,null
340,0.002302,0.005027,null,null
341,0.002302,0.005028,null,null
342,0.002293,0.004992,null,null
343,0.002301,0.005032,null,null
344,0.002296,0.004996,null,null
345,0.002298,0.005021,null,null
346,0.002285,0.004988,null,null
347,0.002293,0.005029,null,null
348,0.002292,0.005015,null,null
349,0.002296,0.00501,null,null
350,0.002296,0.005007,null,null
351,0.002292,0.005027,null,null
352,0.002298,0.005008,null,null
353,0.002286,0.004982,null,null
354,0.002304,0.005024,null,null
355,0.002297,0.005034,null,null
356,0.002299,0.005018,null,null
357,0.002292,0.004994,null,null
358,0.002301,0.005011,null,null
359,0.002304,0.005008,null,null
360,0.002291,0.00499,null,null
361,0.002299,0.005036,null,null
362,0.002288,0.005009,null,null
363,0.002291,0.005017,null,null
364,0.002291,0.005001,null,null
365,0.002291,0.005014,null,null
366,0.002296,0.005013,null,null
367,0.002302,0.005017,null,null
368,0.0023,0.005008,null,null
369,0.002297,0.004998,null,null
370,0.002292,0.005021,null,null
371,0.002293,0.00497,null,null
372,0.002301,0.005012,null,null
373,0.002302,0.005018,null,null
374,0.002306,0.005015,null,null
375,0.002301,0.005005,null,null
376,0.002299,0.004999,null,null
377,0.002299,0.005007,null,null
378,0.002285,0.005013,null,null
379,0.002286,0.005015,null,null
380,0.0023,0.00502,null,null
381,0.002306,0.004998,null,null
382,0.002298,0.005016,null,null
383,0.002298,0.005024,null,null
384,0.002295,0.004999,null,null
385,0.002295,0.005019,null,null
386,0.002296,0.005022,null,null
387,0.002291,0.005021,null,null
388,0.002294,0.005026,null,null
389,0.0023,0.005024,null,null
390,0.002295,0.004998,null,null
391,0.002294,0.005003,null,null
392,0.002295,0.005002,null,null
393,0.002285,0.005005,null,null
394,0.002288,0.005013,null,null
395,0.002294,0.005022,null,null
396,0.002301,0.005023,null,null
397,0.002298,0.005029,null,null
398,0.002301,0.005,null,null
399,0.002303,0.005021,null,null
400,0.002298,0.005016,null,null
401,0.002294,0.005041,null,null
402,0.002295,0.004999,null,null
403,0.002297,0.005003,null,null
404,0.002305,0.005002,null,null
405,0.002303,0.005012,null,null
406,0.002291,0.005013,null,null
407,0.00231,0.005024,null,null
408,0.002308,0.005031,null,null
409,0.002309,0.005018,null,null
410,0.002299,0.005005,null,null
411,0.002296,0.005024,null,null
412,0.002296,0.005007,null,null
413,0.002299,0.005018,null,null
414,0.00229,0.005009,null,null
415,0.002298,0.005034,null,null
416,0.002302,0.005014,null,null
417,0.002298,0.005022,null,null
418,0.002301,0.005033,null,null
419,0.002299,0.004999,null,null
420,0.002301,0.005018,null,null
421,0.002298,0.005018,null,null
422,0.002303,0.005028,null,null
423,0.002297,0.004999,null,null
424,0.002302,0.005039,null,null
425,0.00229,0.004974,null,null
426,0.002294,0.005016,null,null
427,0.0023,0.005028,null,null
428,0.002287,0.005007,null,null
429,0.002302,0.005004,null,null
430,0.002305,0.005007,null,null
431,0.002293,0.005015,null,null
432,0.002293,0.005026,null,null
433,0.002294,0.005032,null,null
434,0.002292,0.005023,null,null
435,0.002295,0.005017,null,null
436,0.002298,0.004992,null,null
437,0.002299,0.005025,null,null
438,0.002294,0.005003,null,null
439,0.002298,0.004998,null,null
440,0.002301,0.005009,null,null
441,0.002302,0.005008,null,null
442,0.002305,0.005024,null,null
443,0.002299,0.005034,null,null
444,0.002296,0.005009,null,null
445,0.002299,0.005011,null,null
446,0.002302,0.005007,null,null
447,0.0023,0.005024,null,null
448,0.002293,0.005003,null,null
449,0.002297,0.005011,null,null
450,0.00229,0.005005,null,null
451,0.002295,0.004988,null,null
452,0.002295,0.005005,null,null
453,0.0023,0.005021,null,null
454,0.002295,0.005003,null,null
455,0.002287,0.005021,null,null
456,0.002297,0.004996,null,null
457,0.002302,0.005022,null,null
458,0.002306,0.005021,null,null
459,0.002287,0.005008,null,null
460,0.002297,0.005026,null,null
461,0.002291,0.005012,null,null
462,0.00231,0.005032,null,null
