ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.620965,0.0162703,null,null,null
0.600495,null,-0.0135035,null,null
0.542065,0.0274822,null,null,null
0.51623,null,0.0345095,null,null
0.550515,-0.062374,null,null,null
0.493415,null,-0.0334416,null,null
0.485994,-0.0556275,null,null,null
0.408867,null,-0.0923035,null,null
0.413986,-0.0520995,null,null,null
0.365704,null,-0.186976,null,null
0.436563,-0.0065546,null,null,null
0.341369,null,-0.201442,null,null
0.438524,0.090098,null,null,null
0.382454,null,-0.187147,null,null
0.437208,0.078752,null,null,null
0.395464,null,-0.190809,null,null
0.434459,0.117935,null,null,null
0.355002,null,-0.100234,null,null
0.370831,0.0999705,null,null,null
0.34495,null,-0.0389393,null,null
0.433165,-0.00403086,null,null,null
0.306168,null,-0.083538,null,null
0.433165,-0.00403086,null,null,null
0.306168,null,-0.083538,null,null
0.414554,-0.0154568,null,null,null
0.36466,null,-0.074876,null,null
0.390195,0.0317862,null,null,null
0.26424,null,-0.0482602,null,null
0.390195,0.0317862,null,null,null
0.26424,null,-0.0482602,null,null
0.413245,0.028796,null,null,null
0.259298,null,-0.0139569,null,null
0.363687,-0.0426943,null,null,null
0.349121,null,0.00377406,null,null
0.289882,0.0275755,null,null,null
0.330042,null,-0.0204858,null,null
0.258043,-0.0179097,null,null,null
0.25699,null,-0.0413041,null,null
0.275516,-0.105005,null,null,null
0.237087,null,0.015853,null,null
0.267519,-0.145842,null,null,null
0.198063,null,0.0035628,null,null
0.249992,-0.231289,null,null,null
0.234697,null,0.0630295,null,null
0.257578,-0.272674,null,null,null
0.259128,null,0.0392332,null,null
0.308575,-0.249656,null,null,null
0.267675,null,0.0066598,null,null
0.259506,-0.184635,null,null,null
0.268281,null,0.0353946,null,null
0.254895,-0.205996,null,null,null
0.243232,null,0.0957705,null,null
0.235414,-0.206302,null,null,null
0.197874,null,0.0282458,null,null
0.274459,-0.16594,null,null,null
0.244392,null,-0.015946,null,null
0.221152,-0.18321,null,null,null
0.182059,null,0.0284076,null,null
0.26968,-0.256661,null,null,null
0.265062,null,0.0496972,null,null
0.26968,-0.256661,null,null,null
0.265062,null,0.0496972,null,null
0.26968,-0.256661,null,null,null
0.265062,null,0.0496972,null,null
0.210648,-0.182249,null,null,null
0.236198,null,0.0935285,null,null
0.2467,-0.175555,null,null,null
0.235855,null,0.093302,null,null
0.236363,-0.233655,null,null,null
0.298463,null,0.064157,null,null
0.285638,-0.242499,null,null,null
0.289584,null,0.072446,null,null
0.191243,-0.239436,null,null,null
0.268198,null,0.0731645,null,null
0.26435,-0.160696,null,null,null
0.334887,null,0.11746,null,null
0.167627,-0.13266,null,null,null
0.244338,null,0.0904355,null,null
0.135039,-0.131575,null,null,null
0.294363,null,0.0884995,null,null
0.121159,-0.174939,null,null,null
0.287413,null,0.0143951,null,null
0.166937,-0.174495,null,null,null
0.272068,null,0.0123739,null,null
0.165298,-0.15583,null,null,null
0.312184,null,0.0394252,null,null
0.155483,-0.140692,null,null,null
0.300374,null,0.0877135,null,null
0.144128,-0.116176,null,null,null
0.293419,null,0.0974255,null,null
0.165003,-0.0353429,null,null,null
0.320494,null,0.064305,null,null
0.218815,-0.0499785,null,null,null
0.337543,null,0.015741,null,null
0.1949,-0.0553575,null,null,null
0.349221,null,-0.0268417,null,null
0.201688,0.00637795,null,null,null
0.314287,null,-0.0536015,null,null
0.123665,-0.0799175,null,null,null
0.348761,null,-0.0309675,null,null
0.134374,-0.0289551,null,null,null
0.349061,null,-0.0667685,null,null
0.099911,0.009736,null,null,null
0.348475,null,-0.157366,null,null
0.130593,-0.0154038,null,null,null
0.343958,null,-0.167291,null,null
0.160001,-0.015855,null,null,null
0.391348,null,-0.212307,null,null
0.194472,-0.0532875,null,null,null
0.404634,null,-0.231535,null,null
0.216399,-0.0325026,null,null,null
0.396139,null,-0.137207,null,null
0.119517,0.0203339,null,null,null
0.311742,null,-0.0330664,null,null
0.109732,-0.00571865,null,null,null
0.310052,null,-0.0480633,null,null
0.166119,-0.0557185,null,null,null
