ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
1.21919,0.0152558,null,null,null
1.29713,null,-0.124546,null,null
1.40285,0.138806,null,null,null
1.41648,null,0.166961,null,null
1.25199,-0.211839,null,null,null
1.12359,null,-0.096214,null,null
1.05582,-0.111611,null,null,null
1.08554,null,-0.5432,null,null
0.949775,-0.240202,null,null,null
0.807515,null,-0.692945,null,null
0.755725,0.00548445,null,null,null
0.79477,null,-0.56535,null,null
0.960775,0.142838,null,null,null
0.810415,null,-0.448491,null,null
0.728875,0.172912,null,null,null
0.975275,null,-0.563525,null,null
0.977645,0.195272,null,null,null
0.718425,null,-0.254812,null,null
0.878715,0.129916,null,null,null
0.756305,null,-0.085455,null,null
0.92909,-0.096767,null,null,null
0.632845,null,-0.398359,null,null
0.92909,-0.096767,null,null,null
0.632845,null,-0.398359,null,null
0.714495,-0.0374432,null,null,null
0.61183,null,-0.430468,null,null
0.788025,-0.01396,null,null,null
0.452182,null,-0.165947,null,null
0.788025,-0.01396,null,null,null
0.452182,null,-0.165947,null,null
0.921135,-0.0356785,null,null,null
0.516315,null,-0.279637,null,null
0.649565,0.0341434,null,null,null
0.659805,null,-0.266222,null,null
0.660615,0.0840945,null,null,null
0.72137,null,-0.197541,null,null
0.403042,-0.110406,null,null,null
0.324186,null,-0.187869,null,null
0.512755,-0.2582,null,null,null
0.408025,null,-0.051541,null,null
0.50459,-0.177147,null,null,null
0.356252,null,-0.228999,null,null
0.62985,-0.260235,null,null,null
0.419768,null,0.000369943,null,null
0.581995,-0.343307,null,null,null
0.60576,null,-0.00278751,null,null
0.66311,-0.290602,null,null,null
0.482428,null,-0.0819505,null,null
0.486936,-0.279585,null,null,null
0.541015,null,-0.229395,null,null
0.443898,-0.349843,null,null,null
0.42686,null,-0.0235155,null,null
0.250835,-0.391711,null,null,null
0.394294,null,-0.182801,null,null
0.426019,-0.421023,null,null,null
0.349218,null,-0.167698,null,null
0.285744,-0.447835,null,null,null
0.361866,null,-0.140182,null,null
0.374393,-0.729715,null,null,null
0.590795,null,0.0701205,null,null
0.374393,-0.729715,null,null,null
0.590795,null,0.0701205,null,null
0.374393,-0.729715,null,null,null
0.590795,null,0.0701205,null,null
0.433291,-0.429256,null,null,null
0.438422,null,0.12696,null,null
0.297023,-0.447418,null,null,null
0.470316,null,-0.00659935,null,null
0.414044,-0.65015,null,null,null
0.58357,null,-0.0620325,null,null
0.482075,-0.81199,null,null,null
0.599455,null,-0.163086,null,null
0.092692,-0.67496,null,null,null
0.61612,null,-0.194982,null,null
0.249673,-0.468622,null,null,null
0.65549,null,0.0256452,null,null
0.183974,-0.52338,null,null,null
0.62322,null,-0.0188649,null,null
0.0285502,-0.353579,null,null,null
0.54729,null,0.0925985,null,null
0.0183266,-0.568215,null,null,null
0.478087,null,-0.0151649,null,null
0.291137,-0.52009,null,null,null
0.478516,null,0.0104163,null,null
0.238138,-0.608285,null,null,null
0.81781,null,-0.00396583,null,null
0.165543,-0.440626,null,null,null
0.74583,null,-0.0507695,null,null
-0.0808725,-0.696965,null,null,null
0.495161,null,0.127695,null,null
0.090552,-0.547125,null,null,null
0.62023,null,-0.0201587,null,null
0.102864,-0.567415,null,null,null
0.64554,null,-0.0706065,null,null
0.198348,-0.321412,null,null,null
0.587655,null,-0.061037,null,null
0.338628,-0.443939,null,null,null
0.516575,null,-0.114877,null,null
0.0596185,-0.329729,null,null,null
0.5166,null,-0.0956165,null,null
0.296184,-0.286479,null,null,null
0.694785,null,-0.261855,null,null
0.0355851,-0.350497,null,null,null
0.586095,null,-0.23887,null,null
0.136227,-0.298752,null,null,null
0.580645,null,-0.445038,null,null
0.284583,-0.407318,null,null,null
0.700605,null,-0.53005,null,null
0.156939,-0.440995,null,null,null
0.69034,null,-0.37164,null,null
0.246598,-0.381136,null,null,null
0.7981,null,-0.277616,null,null
0.353372,-0.28639,null,null,null
0.524745,null,-0.115624,null,null
0.2335,-0.430281,null,null,null
0.55957,null,-0.124677,null,null
0.150669,-0.318561,null,null,null
0.72536,null,-0.0687065,null,null
0.0461983,-0.228981,null,null,null
0.620325,null,-0.217882,null,null
0.0313327,-0.438292,null,null,null
0.546095,null,-0.285783,null,null
0.297536,-0.395156,null,null,null
0.493854,null,-0.284847,null,null
0.260184,-0.169854,null,null,null
0.537115,null,-0.175495,null,null
0.295864,-0.158785,null,null,null
0.51205,null,0.0281843,null,null
0.284466,-0.165024,null,null,null
0.479907,null,-0.164028,null,null
0.197728,0.069891,null,null,null
0.51888,null,-0.179139,null,null
0.138823,-0.114535,null,null,null
0.545485,null,-0.190882,null,null
0.208637,0.0261721,null,null,null
0.734315,null,-0.308646,null,null
0.146536,-0.0340478,null,null,null
0.473116,null,-0.072703,null,null
0.248466,-0.32729,null,null,null
0.456746,null,-0.36083,null,null
0.184423,-0.25152,null,null,null
0.67886,null,0.0113726,null,null
0.142667,-0.300154,null,null,null
0.762135,null,-0.172289,null,null
0.15899,-0.235257,null,null,null
0.516845,null,-0.181025,null,null
0.149762,-0.250203,null,null,null
0.5731,null,-0.165173,null,null
0.073398,-0.0740295,null,null,null
0.814265,null,0.0212481,null,null
0.106472,-0.0334334,null,null,null
0.628985,null,0.120463,null,null
-0.004266,-0.0344368,null,null,null
0.688585,null,0.182642,null,null
-0.00535685,-0.0934985,null,null,null
0.550195,null,-0.133909,null,null
0.0457219,0.00185575,null,null,null
0.467058,null,-0.135294,null,null
-0.197108,-0.108716,null,null,null
0.467247,null,-0.169009,null,null
-0.197108,-0.108716,null,null,null
0.467247,null,-0.169009,null,null
-0.250521,-0.3318,null,null,null
0.71182,null,-0.0457735,null,null
-0.306984,-0.211778,null,null,null
0.719995,null,0.0130981,null,null
-0.398064,-0.188883,null,null,null
0.754915,null,-0.195285,null,null
-0.517995,-0.192757,null,null,null
0.577245,null,0.0292482,null,null
-0.276913,-0.22416,null,null,null
0.5829,null,0.217555,null,null
-0.333195,-0.170075,null,null,null
0.805875,null,0.161385,null,null
-0.336155,-0.0946265,null,null,null
0.77073,null,0.0913075,null,null
-0.244587,-0.138207,null,null,null
0.848075,null,0.0219661,null,null
-0.294396,0.0064803,null,null,null
0.78279,null,0.270958,null,null
-0.294396,0.0064803,null,null,null
0.78279,null,0.270958,null,null
-0.263611,0.069312,null,null,null
0.85344,null,0.235683,null,null
0.0519015,0.0718905,null,null,null
0.642985,null,0.146291,null,null
-0.163062,-0.18342,null,null,null
0.7398,null,0.0745835,null,null
-0.130329,0.0156103,null,null,null
