ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
2.5834,0.059957,null,null,null
2.55872,null,-0.146311,null,null
1.73056,0.0468626,null,null,null
2.17566,null,0.434293,null,null
1.46163,-0.44914,null,null,null
1.94202,null,-0.206257,null,null
1.55974,-0.157585,null,null,null
1.97131,null,-0.72445,null,null
1.17738,-0.378646,null,null,null
0.98884,null,-1.55109,null,null
0.95714,-0.42347,null,null,null
1.17966,null,-0.88276,null,null
1.80628,0.146605,null,null,null
0.619135,null,-1.20901,null,null
1.2845,0.367853,null,null,null
1.37355,null,-1.34804,null,null
1.48108,0.325875,null,null,null
1.74365,null,-0.87398,null,null
1.14321,0.686395,null,null,null
1.06458,null,-0.94033,null,null
1.2708,-0.034348,null,null,null
1.10446,null,-0.67896,null,null
1.37401,0.332744,null,null,null
2.0086,null,-1.25421,null,null
1.23671,-0.582035,null,null,null
1.12099,null,-1.11535,null,null
1.74073,0.0125743,null,null,null
1.32227,null,0.961535,null,null
1.42026,0.026111,null,null,null
1.95406,null,-0.522025,null,null
0.94009,-0.224741,null,null,null
0.93127,null,-0.475537,null,null
1.15773,-0.05092,null,null,null
1.12007,null,-1.49239,null,null
1.15738,0.0658245,null,null,null
1.48765,null,-1.27158,null,null
0.964745,0.241657,null,null,null
1.16698,null,-0.900565,null,null
0.45954,-0.176116,null,null,null
1.44657,null,-0.82766,null,null
1.09147,-0.0378717,null,null,null
1.07886,null,-2.00298,null,null
1.15749,0.133652,null,null,null
1.57955,null,-0.459608,null,null
1.18566,-0.36737,null,null,null
1.60806,null,-0.171621,null,null
1.63731,0.64574,null,null,null
0.676985,null,-0.285894,null,null
0.847295,0.059494,null,null,null
1.02567,null,-0.52597,null,null
1.37656,-0.0106687,null,null,null
1.03082,null,0.410772,null,null
1.37656,-0.0106687,null,null,null
1.03082,null,0.410772,null,null
1.16999,0.163634,null,null,null
1.39762,null,-0.295913,null,null
1.14152,-0.10065,null,null,null
0.917995,null,-0.595995,null,null
1.11277,0.277226,null,null,null
0.840325,null,-0.390645,null,null
1.11277,0.277226,null,null,null
0.840325,null,-0.390645,null,null
1.11277,0.277226,null,null,null
0.840325,null,-0.390645,null,null
1.98615,-0.0411678,null,null,null
0.752485,null,-0.385867,null,null
1.48223,0.94564,null,null,null
0.820285,null,-0.1808,null,null
1.22836,1.18591,null,null,null
0.77017,null,0.337492,null,null
1.0655,1.07947,null,null,null
0.376945,null,-0.322283,null,null
0.82971,1.19279,null,null,null
0.6421,null,0.0353113,null,null
0.481994,1.08949,null,null,null
1.19042,null,-0.0873845,null,null
1.77225,1.14355,null,null,null
0.885065,null,-0.145878,null,null
1.6536,0.401483,null,null,null
1.48664,null,0.203005,null,null
1.7849,0.678455,null,null,null
0.96667,null,0.51753,null,null
2.37697,1.0313,null,null,null
1.15237,null,-0.115427,null,null
0.755195,0.86162,null,null,null
0.66243,null,0.161632,null,null
0.71423,1.45959,null,null,null
0.761045,null,-0.429435,null,null
1.75521,2.08818,null,null,null
0.659845,null,-0.486609,null,null
0.45234,1.95454,null,null,null
0.75433,null,-0.132368,null,null
0.0178716,2.13543,null,null,null
0.718775,null,-0.490156,null,null
0.545815,2.08906,null,null,null
0.515675,null,0.268845,null,null
1.04679,1.87686,null,null,null
0.89455,null,-0.0638735,null,null
